"SKUcolorsize";"Quantity"
"#353";10
"#354";5
"#355";15
"#356";3
"#357";4
"#358";7
"#359";2
"#360";9
"#361";12
"#362";0
"#363";0
"#364";1
"#365";0
"#366";0
"#367";0
"#368";0
"#369";0
"#370";16
"#371";6
"#372";2
"#373";1
"#374";5
"#375";3
"#376";5
"#377";1
"#378";13
"#379";11
"#380";10
"#381";3
"#382";1
"#383";6
"#384";4
"#385";4
"#386";2
"#387";13
"#388";6
"#389";8
"#390";4
"#391";13
"#392";8
"#393";10
"#394";4
"#395";2
"#396";12
"#397";9
"#398";0
"#399";5
"#400";0
"#401";0
"#402";0
"#403";0
"#404";0
"#405";0
"#406";5
"#425";0
"#426";6
"#427";8
"#428";8
"#429";14
"#430";3
"#431";3
"#432";4
"#433";6
"#434";1
"#435";0
"#436";2
"#437";0
"#438";0
"#439";0
"#440";0
"#441";6
"#442";1
"#443";4
"#444";0
"#445";0
"#446";4
"#447";3
"#448";8
"#449";3
"#450";2
"#451";4
"#452";30
"#453";2
"#454";16
"#479";15
"#480";13
"#3284";0
"#3285";0
"#3286";0
"#3287";0
"#3288";0
"#3289";0
"#3290";0
"#3291";0
"#3292";0
"#3293";0
"#3294";0
"#3295";0
"#4058";19
"#4059";9
"#4060";0
"#4061";0
"#4062";0
"#4063";0
"#4064";8
"#4065";7
"#4066";5
"#4067";5
"#4068";3
"#4069";0
"#4250";0
"#4251";0
"#4254";0
"#4255";0
"#4256";0
"#4259";0
"#4260";0
"#4261";0
"#4264";0
"#4265";0
"#4266";0
"#4269";0
"#4270";0
"#4271";0
"#4272";0
"#4273";0
"#4274";0
"#4275";0
"#4276";0
"#4277";0
"#4278";0
"#4279";0
"#4280";0
"#4281";0
"#4282";0
"#4283";0
"#4284";0
"#4285";0
"#4393";3
"#4394";6
"#4485";4
"#4486";2
"#4487";0
"#4488";1
"#4489";0
"#4490";0
"#4491";0
"#4492";0
"#4493";0
"#4494";8
"#4495";1
"#4496";0
"#4497";0
"#4498";4
"#4499";0
"#4500";0
"#4501";0
"#4502";0
"#4583";1
"#4921";0
"#4922";0
"#4923";0
"#4924";0
"#4925";0
"#4926";0
"#4927";0
"#4928";0
"#8397";0
"#8398";4
"#8399";4
"#8400";3
"#8401";0
"#8402";0
"#8403";0
"#8404";0
"#8532";0
"#8533";0
"#8534";0
"#8535";0
"#8536";0
"#8537";0
"#8538";0
"#8539";0
"#8540";0
"#9233";0
"#9234";4
"#16511";4
"#16512";5
"#16513";5
"#16514";1
"#16529";3
"#16530";1
"#16531";0
"#16532";0
"#16542";8
"#16543";6
"#16544";7
"#16545";5
"#16546";0
"#16547";3
"#16548";0
"#16549";0
"#16550";0
"#16554";19
"#16555";16
"#16556";12
"#16557";0
"#16558";0
"#16559";0
"#16560";0
"#16561";0
"#16562";0
"#18486";6
"#18487";0
"#18488";4
"#18489";6
"#18490";6
"#18639";0
"#18640";0
"#18669";0
"#18670";0
"#18671";0
"#18672";0
"#18673";0
"#18674";0
"#18675";0
"#18676";0
"#18677";0
"#18678";0
"#18679";0
"#18680";0
"#18681";0
"#18682";0
"#18683";1
"#18684";0
"#18685";0
"#18686";0
"#18687";0
"#18688";0
"#18689";0
"#18690";0
"#18691";0
"#18692";0
"#18693";0
"#18694";0
"#18695";0
"#18696";0
"#18697";0
"#18698";0
"#18737";0
"#18738";0
"#18739";0
"#18740";0
"#18741";0
"#18742";0
"#18743";0
"#18744";0
"#18745";0
"#18746";0
"#18747";0
"#18748";0
"#18749";0
"#18750";0
"#18751";0
"#18752";0
"#19069";0
"#19070";0
"#19071";0
"#19072";0
"#19073";1
"#19074";0
"#19075";0
"#19076";0
"#19077";0
"#19078";0
"#19079";0
"#19080";0
"#19081";0
"#19082";0
"#19083";0
"#19205";0
"#19206";0
"#19207";0
"#19208";0
"#19209";0
"#19210";0
"#19211";0
"#19212";0
"#19213";0
"#19214";0
"#19215";0
"#19216";0
"#19217";0
"#19218";0
"#19219";0
"#19220";0
"#19221";0
"#19222";0
"#19223";0
"#19224";0
"#19225";0
"#19226";0
"#19227";0
"#19228";0
"#19229";0
"#19230";0
"#19231";0
"#19232";0
"#19233";0
"#19234";0
"#19235";0
"#19236";0
"#19237";0
"#19238";0
"#19239";0
"#19240";0
"#19241";0
"#19242";0
"#19243";0
"#19244";0
"#19245";0
"#19246";0
"#19247";0
"#19248";0
"#19249";0
"#19250";0
"#19251";0
"#19252";0
"#19253";0
"#19254";0
"#19255";0
"#19256";0
"#19257";0
"#19258";0
"#19259";0
"#19260";0
"#19261";0
"#19262";0
"#19263";0
"#19264";0
"#19265";0
"#19266";0
"#19267";0
"#19268";0
"#19269";0
"#19270";0
"#19271";0
"#19430";0
"#19431";0
"#19432";0
"#19433";0
"#19434";0
"#19435";0
"#20046";0
"#20047";0
"#20048";0
"#20049";0
"#20050";0
"#20211";0
"#20212";0
"#20213";0
"#20214";0
"#20261";0
"#20262";0
"#20375";0
"#20376";0
"#20392";0
"#20393";0
"#20394";0
"#20395";0
"#20396";0
"#20587";0
"#20588";0
"#20637";0
"#20638";0
"#20650";0
"#20651";0
"#20652";0
"#20653";0
"#20654";0
"#20655";0
"#20656";0
"#20657";0
"#20658";0
"#20659";0
"#20660";0
"#20661";0
"#20662";0
"#20663";0
"#20664";0
"#20665";0
"#20666";0
"#20667";0
"#37324";0
"#37325";0
"#37326";1
"#37327";1
"#37328";0
"#37329";0
"#37330";0
"#37331";0
"#37332";0
"#37333";0
"#37334";0
"#37335";0
"#37336";0
"#37337";0
"#37338";0
"#37339";0
"#37340";0
"#37341";0
"#37342";0
"#37343";0
"#37344";0
"#37345";0
"#37346";0
"#37347";0
"#37348";0
"#37349";0
"#37350";0
"#37351";0
"#37352";0
"#37353";0
"#37354";0
"#37355";0
"#37356";0
"#37357";0
"#37358";0
"#37359";0
"#37360";-1
"#37361";1
"#37362";1
"#37363";1
"#37364";0
"#37365";0
"#37366";0
"#37367";0
"#37368";0
"#39406";0
"#39407";4
"#39408";8
"#39409";1
"#39410";0
"#39411";0
"#39412";0
"#39413";0
"#39414";0
"#39415";0
"#39416";0
"#39417";0
"#39418";0
"#39551";6
"#39552";0
"#39553";3
"#39554";0
"#39555";0
"#39556";2
"#39557";4
"#39558";2
"#39559";0
"#39560";0
"#39561";0
"#39562";0
"#39563";0
"#40307";0
"#40308";0
"#40309";0
"#40310";0
"#40311";0
"#40312";-2
"#40313";0
"#40314";0
"#40315";0
"#40316";0
"#40317";0
"#40318";0
"#40319";0
"#40320";0
"#40321";0
"#40322";0
"#40323";0
"#40324";0
"#40325";0
"#40326";0
"#40327";0
"#40328";0
"#40329";1
"#40330";0
"#40331";0
"#40332";0
"#40333";0
"#40334";0
"#40335";0
"#40336";0
"#40337";0
"#40338";0
"#40339";0
"#40340";0
"#40341";0
"#40342";0
"#40343";0
"#40344";0
"#40345";0
"#40346";0
"#40347";0
"#40348";0
"#40349";0
"#40350";0
"#40351";0
"#40352";0
"#40353";0
"#40354";0
"#43087";4
"#43088";5
"#43089";5
"#43090";8
"#43091";5
"#43092";5
"#43093";4
"#43094";5
"#43095";5
"#43096";1
"#43097";4
"#43098";5
"#43099";9
"#43100";3
"#43101";5
"#43102";4
"#43103";4
"#43104";5
"#43105";0
"#43106";3
"#43107";5
"#43108";8
"#43109";5
"#43110";5
"#43111";3
"#43112";4
"#43113";4
"#44059";6
"#44060";0
"#44061";0
"#44062";0
"#44063";1
"#44064";0
"#44232";0
"#44233";0
"#44234";0
"#44235";0
"#44236";0
"#44237";1
"#45227";0
"#45228";0
"#45618";0
"#45619";4
"#45620";0
"#45677";0
"#45678";0
"#45679";0
"#45680";0
"#45681";0
"#45682";0
"#45683";0
"#45684";0
"#45685";0
"#45686";0
"#45687";-2
"#45688";0
"#48518";0
"#48520";0
"#48522";0
"#51086";0
"#51088";0
"#51089";0
"#51090";0
"#51091";0
"#51092";0
"#51093";0
"#51094";0
"#51095";0
"#51096";0
"#51097";0
"#51098";0
"#51099";0
"#51101";0
"#51103";1
"#51104";0
"#51105";0
"#51106";0
"#51107";-1
"#51108";0
"#51109";0
"#51110";0
"#51111";0
"#51112";0
"#51113";0
"#51114";0
"#51116";0
"#51118";0
"#51119";0
"#51120";0
"#51121";0
"#51122";0
"#51123";0
"#51124";0
"#51125";0
"#51126";0
"#51127";0
"#51128";0
"#51129";0
"#51650";-1
"#51651";0
"#51652";0
"#51653";0
"#51654";0
"#51655";1
"#51656";0
"#51657";0
"#51658";0
"#51659";0
"#51660";0
"#51661";0
"#51662";0
"#51663";0
"#51664";0
"#51665";0
"#51666";0
"#51667";0
"#51668";2
"#51669";1
"#51670";1
"#51773";0
"#51774";0
"#51775";0
"#51776";0
"#51777";0
"#51778";0
"#52183";0
"#52185";0
"#52186";0
"#52187";0
"#52188";0
"#52189";0
"#52190";0
"#52191";0
"#52192";0
"#52193";0
"#52196";0
"#52198";0
"#52199";0
"#52200";0
"#52201";0
"#52202";0
"#52203";0
"#52204";0
"#52205";0
"#52206";0
"#52209";1
"#52211";0
"#52212";0
"#52213";1
"#52214";0
"#52215";1
"#52216";0
"#52217";0
"#52218";0
"#52219";0
"#52664";0
"#52665";0
"#52666";0
"#52667";0
"#52716";2
"#52717";7
"#52718";6
"#52719";4
"#52720";1
"#52721";2
"#52722";2
"#52723";1
"#52758";9
"#52759";17
"#52760";17
"#52761";14
"#52773";8
"#52774";16
"#52775";22
"#52776";12
"#52855";1
"#52856";2
"#52861";0
"#54426";0
"#54427";0
"#54428";0
"#54429";0
"#54430";0
"#54431";0
"#54432";0
"#54433";0
"#54434";0
"#54435";0
"#54436";0
"#54437";0
"#54438";0
"#54439";0
"#54440";0
"#54441";0
"#54442";0
"#54443";0
"#54444";0
"#54445";0
"#54446";0
"#54447";0
"#54448";0
"#54449";0
"#54450";0
"#54451";0
"#54452";1
"#54453";0
"#54454";1
"#54455";0
"#54456";0
"#54457";0
"#54458";0
"#54459";0
"#54460";0
"#54461";0
"#54462";0
"#54463";0
"#54464";0
"#54465";0
"#54466";0
"#54467";0
"#54468";0
"#54469";0
"#54470";0
"#54471";0
"#54472";0
"#54473";0
"#54474";0
"#54475";0
"#54476";0
"#54477";1
"#54478";0
"#54479";0
"#54480";0
"#54481";0
"#54482";0
"#54483";0
"#54484";0
"#54485";0
"#54701";1
"#54704";1
"#54957";0
"#54969";0
"#54981";0
"#55029";0
"#55036";1
"#55037";1
"#55038";0
"#55039";0
"#55040";0
"#55041";0
"#55042";0
"#55043";0
"#55044";0
"#55045";0
"#55046";0
"#55047";0
"#55048";0
"#55049";0
"#55050";0
"#55051";0
"#55052";0
"#55053";0
"#55223";0
"#55224";0
"#55225";1
"#55226";0
"#55227";0
"#55228";0
"#55229";0
"#55230";1
"#55231";0
"#55232";0
"#55233";0
"#55234";0
"#55235";0
"#55236";0
"#55237";0
"#55318";0
"#55319";0
"#55320";0
"#55321";0
"#55322";0
"#55323";0
"#55324";0
"#55326";0
"#55327";0
"#55328";0
"#55383";0
"#55384";0
"#55385";0
"#55386";0
"#55387";0
"#55388";-1
"#55389";0
"#55391";0
"#55392";0
"#55393";0
"#55396";0
"#55397";0
"#55398";0
"#55399";0
"#55400";0
"#55401";0
"#55402";0
"#55404";0
"#55405";0
"#55406";0
"#55409";0
"#55410";0
"#55411";0
"#55412";0
"#55413";-1
"#55414";-1
"#55415";0
"#55417";-1
