"SKU";"quantity"
72690;17
77074;7
77075;17
77076;13
77077;15
77078;7
77079;4
77080;7
77081;18
77082;20
77083;15
77084;3
77085;5
77125;8
77126;17
77127;21
77128;13
77130;4
77132;4
77141;4
77142;21
77143;14
77144;12
77145;10
77147;3
79038;0
79039;21
79040;0
79182;0
82300;17
82301;0
87226;4
87227;4
87228;6
87229;7
87230;5
87231;7
87232;2
87233;7
87234;8
87235;5
87236;0
87237;0
87268;4
87269;4
87270;6
87271;9
87272;0
87273;13
87274;0
87275;12
87276;12
87277;9
87278;0
87279;0
87334;0
87335;0
87336;0
87337;2
87338;0
87339;2
87340;0
87341;4
87342;1
87343;1
87344;0
87345;0
87346;0
87347;0
87348;0
87349;0
87350;0
87351;0
87352;0
87353;0
87354;0
87355;0
87356;0
87357;0
87482;5
87483;4
87484;4
87485;5
87486;4
87487;5
87488;0
87489;5
87490;5
87491;4
87492;0
87493;0
87527;0
87528;5
87529;4
87530;5
87531;5
87532;4
87533;3
87535;4
87537;4
87538;3
87539;4
87542;4
87543;5
87544;4
87545;5
87546;5
87547;4
87548;4
87550;3
87552;4
87553;3
87554;4
87557;4
87558;5
87559;5
87560;5
87561;4
87562;4
87563;3
87565;5
87567;5
87568;3
87569;4
87713;4
87714;3
87715;4
87716;4
87717;0
87718;4
87719;0
87720;4
87721;4
87722;6
87796;4
87797;4
87798;5
87799;3
87800;5
87802;6
87803;5
87804;5
87958;3
87959;6
87960;2
87961;2
87962;3
87963;2
87964;3
87965;3
88011;3
88012;3
88013;4
88014;4
88015;1
88016;2
88018;4
88019;2
88020;3
88040;3
88195;0
88197;5
88198;6
88199;6
88200;7
88201;6
88203;6
88205;4
88206;4
88207;4
88225;0
88227;7
88228;6
88229;5
88230;6
88231;5
88233;6
88235;7
88236;6
88237;5
88653;4
88654;7
88655;7
88656;5
88658;7
88660;7
88661;7
88662;8
88971;6
88972;8
88973;6
88974;7
88975;4
88976;5
88978;3
88979;5
88980;7
89025;4
89026;5
89027;4
89028;6
89030;6
89032;7
89033;5
89034;6
89037;5
89038;6
89039;5
89040;7
89042;6
89044;5
89045;6
89046;6
89210;3
89211;4
89212;2
89213;5
89214;5
89216;6
89217;5
89218;6
91388;9
91389;7
91390;7
91391;0
91392;8
91393;0
91394;8
91395;7
91396;7
91403;6
91404;5
91405;6
91406;5
91407;6
91408;4
91409;6
91410;4
91411;5
91498;6
91499;5
91500;7
91501;7
91502;6
91503;6
91504;6
91506;7
91508;6
91509;5
91510;4
91513;6
91514;5
91515;6
91516;7
91517;5
91518;7
91519;6
91521;7
91523;6
91524;3
91525;4
91528;6
91529;5
91530;5
91531;5
91532;5
91533;6
91534;5
91536;5
91538;6
91539;4
91540;4
91786;0
91787;0
91788;0
91789;0
91790;0
91791;0
91792;0
91793;0
91794;0
91795;0
91796;0
91801;5
91802;7
91803;6
91804;7
91805;7
91806;5
91807;8
91808;4
91809;7
91810;6
91811;4
91816;3
91817;5
91818;4
91819;6
91820;6
91821;2
91822;7
91823;2
91824;6
91825;5
91826;3
91846;5
91847;6
91848;5
91849;5
91850;6
91851;3
91852;8
91853;3
91854;7
91855;6
91856;3
92005;4
92006;4
92007;6
92008;5
92009;7
92010;0
92011;9
92012;9
92013;5
92027;6
92028;7
92029;7
92030;5
92031;7
92032;7
92033;7
92035;7
92037;7
92038;6
92039;5
92090;6
92091;5
92092;7
92093;7
92094;4
92095;6
92096;6
92098;7
92100;6
92101;6
92102;5
92528;0
92529;6
92530;5
92531;11
92532;14
92533;0
92534;13
92535;0
92536;15
92537;11
92538;7
92539;0
92540;0
92541;0
92542;5
92543;7
92544;11
92545;14
92546;0
92547;15
92548;0
92549;15
92550;10
92551;9
92552;0
92553;0
92554;0
92555;0
92556;0
92557;0
92558;0
92559;0
92560;0
92561;0
92562;0
92563;0
92564;0
92565;0
92566;0
92685;4
92686;6
92687;4
92688;5
92689;4
92690;5
92692;6
92693;6
92694;5
92711;5
92712;5
92713;3
92714;3
92715;0
92716;3
92718;6
92719;4
92720;0
92840;8
92841;7
92842;9
92843;9
92844;4
92845;7
92846;7
92847;9
92848;8
92849;5
92850;0
92851;0
92852;0
92853;0
92854;0
92855;0
92856;0
92857;0
92858;0
92859;0
92860;0
92861;0
92862;0
92863;0
92864;9
92865;7
92866;9
92867;9
92868;5
92869;7
92870;6
92871;8
92872;7
92873;5
92874;0
92875;0
92876;8
92877;7
92878;9
92879;9
92880;6
92881;8
92882;7
92883;10
92884;8
92885;5
92886;0
92887;0
92888;9
92889;6
92890;9
92891;11
92892;8
92893;9
92894;9
92895;11
92896;8
92897;6
92898;0
92899;0
92900;0
92901;0
92902;0
92903;0
92904;0
92905;0
92906;0
92907;0
92908;0
92909;0
92910;0
92911;0
92912;0
92913;0
92914;0
92915;0
92916;0
92917;0
92918;0
92919;0
92920;0
92921;0
92922;0
92923;0
92924;8
92925;6
92926;8
92927;9
92928;5
92929;7
92930;5
92931;9
92932;7
92933;7
92934;0
92935;0
93085;0
93086;0
93087;1
93088;1
93089;0
93090;2
93091;0
93092;1
93093;2
93094;1
93095;0
93096;0
93097;0
93098;2
93099;0
93100;2
93101;0
93102;0
93103;0
93104;2
93105;1
93106;1
93107;0
93108;0
93251;3
93252;5
93253;3
93254;4
93255;4
93256;6
93257;4
93258;1
93259;6
93260;2
93261;7
93262;5
93263;3
93266;3
93267;5
93268;5
93269;4
93270;4
93271;6
93272;6
93273;2
93274;7
93275;2
93276;7
93277;5
93278;4
93281;3
93282;5
93283;5
93284;5
93285;4
93286;6
93287;6
93288;2
93289;7
93290;2
93291;7
93292;5
93293;3
93419;0
93420;0
93421;0
93422;0
93423;0
93424;0
93425;0
93427;0
93429;0
93430;0
93431;0
93434;0
93435;0
93436;0
93437;0
93438;0
93439;0
93440;0
93442;0
93444;0
93445;0
93446;0
93449;0
93450;0
93451;0
93452;0
93453;0
93454;0
93455;0
93457;0
93459;0
93460;0
93461;0
93644;5
93645;6
93646;6
93647;7
93648;7
93649;7
93650;8
93651;5
93652;8
93653;5
93654;8
93655;6
93656;6
93801;6
93802;6
93803;7
93804;6
93805;7
93806;7
93807;8
93808;4
93809;9
93810;4
93811;8
93812;6
93813;6
93876;4
93877;4
93878;8
93879;8
93880;6
93881;4
93882;8
93883;4
93884;7
93885;4
93886;7
93887;4
